Subject,TrainingTask,FinalTestCondition,ResponseTime,Correct,Ans,CorrectAns,DanlinCode,FanqiCode,JasonCode,FinalCode
1,RE,EC,11.288,0,烧焦,烤焦,0.5,0.5,0.5,0.5
1,CE,EC,67.751,0,踢,尖叫,0,0,0,0
1,RE,EC,18.602,0,勒住,遗弃,0,0,0,0
1,RE,EC,14.682,0,讨厌的,不快,0.5,0.5,0.5,0.5
1,RE,EC,12.1,1,鸟鸣,鸟鸣,1,1,1,1
1,PI,EC,29.76,0,勇往直前的,刚愎自用,0,0,0,0
1,RE,EC,15.218,0,诱骗,哄骗,0.5,0.5,0.5,0.5
7,CE,EC,21.861,1,渴望,渴望,1,1,1,1
7,EC,EC,19.724,1,通知,通知,1,1,1,1
7,RE,EC,29.478,1,附属物,附属物,1,1,1,1
7,PI,EC,14.511,1,预言,预言,1,1,1,1
7,PI,EC,69.349,1,徽章,徽章,1,1,1,1
7,EC,EC,62.086,1,束缚,束缚,1,1,1,1
7,CE,EC,35.237,0,幽默,滑稽,0.5,0.5,0,0.5
7,CE,EC,29.387,1,拥护,拥护,1,1,1,1
7,RE,EC,9.835,1,玩水,玩水,1,1,1,1
7,EC,EC,31.553,1,偷懒,偷懒,1,1,1,1
7,CE,EC,9.048,1,教授,教授,1,1,1,1
7,PI,EC,52.804,1,笨蛋,笨蛋,1,1,1,1
7,EC,EC,22.957,1,兴奋,兴奋,1,1,1,1
7,EC,EC,20.21,1,安置,安置,1,1,1,1
7,PI,EC,76.162,1,责骂,责骂,1,1,1,1
7,RE,EC,23.047,1,篡改,篡改,1,1,1,1
7,RE,EC,32.087,1,粗鲁,粗鲁,1,1,1,1
7,PI,EC,36.121,1,牢骚,牢骚,1,1,1,1
7,RE,EC,25.524,1,狂饮,狂饮,1,1,1,1
7,PI,EC,20.099,1,宁静,宁静,1,1,1,1
7,CE,EC,19.103,0,强壮的,强壮,0.5,0.5,0.5,0.5
7,RE,EC,12.737,0,鲁莽的,鲁莽,0.5,0.5,0.5,0.5
7,RE,EC,16.565,1,质问,质问,1,1,1,1
7,CE,EC,22.576,1,诱骗,诱骗,1,1,1,1
7,CE,EC,27.399,1,烦躁,烦躁,1,1,1,1
7,RE,EC,16.954,1,闲聊,闲聊,1,1,1,1
7,RE,EC,21.479,0,浸没,浸泡,0.5,0.5,0.5,0.5
7,RE,EC,13.795,1,不适,不适,1,1,1,1
7,EC,EC,28.575,1,损坏,损坏,1,1,1,1
7,CE,EC,47.255,1,炫耀,炫耀,1,1,1,1
7,PI,EC,38.23,1,急救,急救,1,1,1,1
7,CE,EC,33.324,0,少量的,少量,0.5,0.5,0.5,0.5
7,EC,EC,18.176,1,可饮用,可饮用,1,1,1,1
7,PI,EC,36.356,1,改变宗教,改变宗教,1,1,1,1
7,PI,EC,32.873,0,狂暴的,狂暴,0.5,0.5,0.5,0.5
7,CE,EC,19.539,0,破旧的,破旧,0.5,0.5,0.5,0.5
7,RE,EC,17.297,1,抗议,抗议,1,1,1,1
7,RE,EC,11.355,1,补偿,补偿,1,1,1,1
7,PI,EC,16.013,1,狂欢,狂欢,1,1,1,1
7,CE,EC,33.293,1,生气,生气,1,1,1,1
7,PI,EC,77.657,1,阴森,阴森,1,1,1,1
7,EC,EC,51.815,1,烤焦,烤焦,1,1,1,1
7,PI,EC,22.832,1,尖叫,尖叫,1,1,1,1
7,EC,EC,37.527,1,遗弃,遗弃,1,1,1,1
7,EC,EC,22.172,1,不快,不快,1,1,1,1
7,EC,EC,44.766,1,鸟鸣,鸟鸣,1,1,1,1
7,CE,EC,16.574,1,刚愎自用,刚愎自用,1,1,1,1
7,EC,EC,25.83,1,哄骗,哄骗,1,1,1,1
16,EC,CE,12.96,0,NA,Agog,0,0,0,0
16,CE,CE,14.798,0,NA,Apprise,0,0,0,0
16,PI,CE,35.706,0,appurtenancec,Appurtenance,0.5,0.5,0.5,0.5
16,RE,CE,20.145,0,NA,Augur,0,0,0,0
16,RE,CE,15.841,0,petal,Blazon,0,0,0,0
16,CE,CE,11.952,0,NA,Bridle,0,0,0,0
16,EC,CE,20.808,0,NA,Caricature,0,0,0,0
16,EC,CE,20.835,0,NA,Countenance,0,0,0,0
16,PI,CE,24.532,0,s,Dabble,0,0,0,0
16,CE,CE,15.776,0,NA,Dawdle,0,0,0,0
16,EC,CE,11.307,0,von,Don,0.5,0.5,0.5,0.5
16,RE,CE,21.913,0,NA,Dullard,0,0,0,0
16,CE,CE,30.902,0,NA,Effervesce,0,0,0,0
16,CE,CE,15.617,0,NA,Ensconce,0,0,0,0
16,RE,CE,30.727,0,h,Fulminate,0,0,0,0
16,PI,CE,37.56,0,modify,Garble,0,0,0,0
16,PI,CE,19.116,0,ramble,Gauche,0,0,0,0
16,RE,CE,19.354,0,s,Gripe,0,0,0,0
16,PI,CE,28.35,0,drink,Guzzle,0,0,0,0
16,RE,CE,22.459,0,NA,Halcyon,0,0,0,0
16,EC,CE,21.47,0,NA,Hale,0,0,0,0
16,PI,CE,15.873,1,headlong,Headlong,1,1,1,1
16,PI,CE,13.057,0,ask,Heckle,0,0,0,0
16,EC,CE,15.611,0,NA,Inveigle,0,0,0,0
16,EC,CE,38.06,0,NA,Irksome,0,0,0,0
16,PI,CE,25.813,0,chat,Jabber,0,0,0,0
16,PI,CE,25.796,0,soak,Macerate,0,0,0,0
16,PI,CE,26.241,0,discomfort,Malaise,0,0,0,0
16,CE,CE,24.507,0,NA,Mangle,0,0,0,0
16,EC,CE,15.4,0,NA,Panache,0,0,0,0
16,RE,CE,17.784,0,NA,Paroxysm,0,0,0,0
16,EC,CE,13.279,0,NA,Piddling,0,0,0,0
16,CE,CE,18.832,1,potable,Potable,1,1,1,1
16,RE,CE,17.313,0,NA,Proselytize,0,0,0,0
16,RE,CE,30.544,0,NA,Rabid,0,0,0,0
16,EC,CE,21.369,0,NA,Ragged,0,0,0,0
16,PI,CE,37.313,0,demonstrance,Remonstrance,0.5,0.5,0.5,0.5
16,PI,CE,22.297,0,compensate,Requite,0,0,0,0
16,RE,CE,17.764,0,NA,Revel,0,0,0,0
16,EC,CE,10.706,0,NA,Rile,0,0,0,0
16,RE,CE,35.091,0,NA,Sepulchral,0,0,0,0
16,CE,CE,18.344,0,NA,Singe,0,0,0,0
16,RE,CE,23,0,scream,Squall,0,0,0,0
16,CE,CE,17.509,0,NA,Strand,0,0,0,0
16,CE,CE,18.293,0,NA,Umbrage,0,0,0,0
16,CE,CE,17.497,0,NA,Warble,0,0,0,0
16,EC,CE,23.446,0,NA,Wayward,0,0,0,0
16,CE,CE,19.118,0,NA,Wheedle,0,0,0,0
17,PI,EC,20.193,0,遗忘,渴望,0,0,0,0
17,RE,EC,6.305,0,不知道,通知,0,0,0,0
17,EC,EC,19.92,0,附属品,附属物,0.5,0.5,0.5,0.5
17,CE,EC,18.517,0,遗忘,预言,0,0,0,0
17,CE,EC,19.514,0,不知道,徽章,0,0,0,0
17,RE,EC,5.392,0,不知道,束缚,0,0,0,0
17,PI,EC,38.781,0,不知道,滑稽,0,0,0,0
17,PI,EC,31.826,1,拥护,拥护,1,1,1,1
17,EC,EC,9.117,1,玩水,玩水,1,1,1,1
17,RE,EC,6.743,0,不知道,偷懒,0,0,0,0
17,PI,EC,10.593,1,教授,教授,1,1,1,1
17,CE,EC,11.111,0,蠢货,笨蛋,0.5,0.5,0.5,0.5
17,RE,EC,7.039,0,不知道,兴奋,0,0,0,0
17,RE,EC,6.932,0,不知道,安置,0,0,0,0
17,CE,EC,16.856,1,责骂,责骂,1,1,1,1
17,EC,EC,9.038,0,不知道,篡改,0,0,0,0
17,EC,EC,12.287,0,不知道,粗鲁,0,0,0,0
17,CE,EC,13.553,0,不知道,牢骚,0,0,0,0
17,EC,EC,9.239,0,不知道,狂饮,0,0,0,0
17,CE,EC,11.735,0,不知道,宁静,0,0,0,0
17,PI,EC,14.817,1,强壮,强壮,1,1,1,1
17,EC,EC,13.677,0,暴躁,鲁莽,0,0.5,0,0
17,EC,EC,20.396,0,不知道,质问,0,0,0,0
17,PI,EC,32.001,0,诱拐,诱骗,0.5,0.5,0.5,0.5
17,PI,EC,23.798,0,噪音,烦躁,0,0,0,0
17,EC,EC,10.375,1,闲聊,闲聊,1,1,1,1
17,EC,EC,6.991,0,不知道,浸泡,0,0,0,0
17,EC,EC,9.762,0,不知道,不适,0,0,0,0
17,RE,EC,5.869,0,不知道,损坏,0,0,0,0
17,PI,EC,23.17,0,不知道,炫耀,0,0,0,0
17,CE,EC,51.375,0,解药,急救,0,0,0,0
17,PI,EC,30.478,0,小块的,少量,0.5,0.5,0.5,0.5
17,RE,EC,5.133,0,可饮用的,可饮用,1,1,1,1
17,CE,EC,28.243,0,神化,改变宗教,0,0,0,0
17,CE,EC,14.404,1,狂暴,狂暴,1,1,1,1
17,PI,EC,13.513,0,破旧的,破旧,1,1,1,1
17,EC,EC,34.11,0,不知道,抗议,0,0,0,0
17,EC,EC,12.994,0,否决,补偿,0,0,0,0
17,CE,EC,19.193,0,天堂,狂欢,0,0,0,0
17,PI,EC,18.343,0,暴躁,生气,0,0.5,0.5,0.5
17,CE,EC,18.38,0,不知道,阴森,0,0,0,0
17,RE,EC,3.469,0,遗弃,烤焦,0,0,0,0
17,CE,EC,13.155,1,尖叫,尖叫,1,1,1,1
17,RE,EC,10.204,0,不知道,遗弃,0,0,0,0
17,RE,EC,9.708,0,不知道,不快,0,0,0,0
17,RE,EC,6.19,0,不知道,鸟鸣,0,0,0,0
17,PI,EC,38.522,0,自说自话的,刚愎自用,0,0,0,0
17,RE,EC,7.723,0,不知道,哄骗,0,0,0,0
19,CE,EC,27.551,0,激进,渴望,0,0,0,0
19,EC,EC,48.93,1,通知,通知,1,1,1,1
19,RE,EC,28.968,0,附属,附属物,0.5,0.5,0.5,0.5
19,PI,EC,41.555,1,预言,预言,1,1,1,1
19,PI,EC,31.401,0,勋章,徽章,0.5,0.5,0.5,0.5
19,EC,EC,59.016,1,束缚,束缚,1,1,1,1
19,CE,EC,40.151,1,滑稽,滑稽,1,1,1,1
19,CE,EC,49.028,0,同意,拥护,0.5,0.5,0.5,0.5
19,RE,EC,11.565,0,喋喋不休,玩水,0,0,0,0
19,EC,EC,48.125,0,纠缠,偷懒,0,0,0,0
19,CE,EC,9.814,1,教授,教授,1,1,1,1
19,PI,EC,54.635,0,愚钝,笨蛋,0.5,0.5,0.5,0.5
19,EC,EC,34.508,1,兴奋,兴奋,1,1,1,1
19,EC,EC,35.878,0,支持,安置,0,0,0,0
19,PI,EC,59.787,1,责骂,责骂,1,1,1,1
19,RE,EC,27.292,0,唠叨,篡改,0,0,0,0
19,RE,EC,15.034,0,愚钝,粗鲁,0,0,0,0
19,PI,EC,31.543,0,唠叨,牢骚,0.5,0,0,0
19,RE,EC,14.276,0,害怕,狂饮,0,0,0,0
19,PI,EC,42.061,0,狂欢,宁静,0,0,0,0
19,CE,EC,21.707,0,健壮,强壮,0.5,0.5,0.5,0.5
19,RE,EC,13.212,0,莽撞的,鲁莽,0.5,0.5,0.5,0.5
19,RE,EC,17.209,0,呵斥,质问,0.5,0.5,0.5,0.5
19,CE,EC,47.765,0,欺骗,诱骗,0.5,0.5,0.5,0.5
19,CE,EC,35.923,0,暴怒,烦躁,0.5,0.5,0,0.5
19,RE,EC,9.443,0,唠叨,闲聊,0,0,0,0
19,RE,EC,22.265,0,浸湿,浸泡,0.5,0.5,0.5,0.5
19,RE,EC,15.013,0,疾病,不适,0.5,0.5,0.5,0.5
19,EC,EC,31.574,0,纠缠,损坏,0,0,0,0
19,CE,EC,30.887,0,刚愎自用,炫耀,0.5,0,0,0
19,PI,EC,32.845,1,急救,急救,1,1,1,1
19,CE,EC,29.948,0,欺骗,少量,0,0,0,0
19,EC,EC,38.593,1,可饮用,可饮用,1,1,1,1
19,PI,EC,50.932,0,改宗教,改变宗教,1,0.5,0.5,0.5
19,PI,EC,24.211,0,NA,狂暴,0,0,0,0
19,CE,EC,37.618,0,破烂不堪,破旧,0.5,0.5,0.5,0.5
19,RE,EC,24.851,0,熟悉但不记得,抗议,0,0,0,0
19,RE,EC,22.873,1,补偿,补偿,1,1,1,1
19,PI,EC,35.03,1,狂欢,狂欢,1,1,1,1
19,CE,EC,38.029,0,暴动,生气,0,0,0,0
19,PI,EC,42.222,0,阴郁的,阴森,0,0,0.5,0
19,EC,EC,18.197,0,浸湿,烤焦,0,0,0,0
19,PI,EC,30.305,1,尖叫,尖叫,1,1,1,1
19,EC,EC,39.258,0,束缚,遗弃,0,0,0,0
19,EC,EC,56.598,0,兴奋,不快,0,0,0,0
19,EC,EC,27.527,1,鸟鸣,鸟鸣,1,1,1,1
19,CE,EC,26.149,0,鲁莽,刚愎自用,0,0,0,0
19,EC,EC,40.281,0,NA,哄骗,0,0,0,0
39,CE,EC,18.749,0,预言,渴望,0,0,0,0
39,EC,EC,83.951,1,通知,通知,1,1,1,1
39,RE,EC,8.43,0,不满,附属物,0,0,0,0
39,PI,EC,86.099,1,预言,预言,1,1,1,1
39,PI,EC,33.123,1,徽章,徽章,1,1,1,1
39,EC,EC,27.669,0,限制,束缚,0.5,0.5,0.5,0.5
39,CE,EC,31.433,0,吉祥,滑稽,0,0,0,0
39,CE,EC,63.876,0,保护,拥护,0,0.5,0,0
39,RE,EC,8.931,0,牢骚,玩水,0,0,0,0
39,EC,EC,41.475,0,闲聊,偷懒,0,0,0,0
39,CE,EC,17.557,1,教授,教授,1,1,1,1
39,PI,EC,38.597,1,笨蛋,笨蛋,1,1,1,1
39,EC,EC,111.094,0,烦躁,兴奋,0,0,0,0
39,EC,EC,56.188,0,核心,安置,0,0,0,0
39,PI,EC,35.058,0,惹怒,责骂,0,0,0,0
39,RE,EC,13.569,0,牢骚,篡改,0,0,0,0
39,RE,EC,13.208,0,生气,粗鲁,0,0,0,0
39,PI,EC,37.715,0,疲劳,牢骚,0,0,0,0
39,RE,EC,8.024,0,防止,狂饮,0,0,0,0
39,PI,EC,38.411,1,宁静,宁静,1,1,1,1
39,CE,EC,33.679,0,生气,强壮,0,0,0,0
39,RE,EC,7.058,0,厌烦,鲁莽,0,0,0,0
39,RE,EC,8.05,0,头盔,质问,0,0,0,0
39,CE,EC,46.671,0,发火,诱骗,0,0,0,0
39,CE,EC,50.109,1,烦躁,烦躁,1,1,1,1
39,RE,EC,9.597,1,闲聊,闲聊,1,1,1,1
39,RE,EC,10.577,1,浸泡,浸泡,1,1,1,1
39,RE,EC,5.163,0,生病,不适,0.5,0.5,0.5,0.5
39,EC,EC,63.105,0,生气,损坏,0,0,0,0
39,CE,EC,35.863,0,疼痛,炫耀,0,0,0,0
39,PI,EC,43.949,0,改变宗教,急救,0,0,0,0
39,CE,EC,59.29,0,烦躁,少量,0,0,0,0
39,EC,EC,28.055,1,可饮用,可饮用,1,1,1,1
39,PI,EC,39.97,1,改变宗教,改变宗教,1,1,1,1
39,PI,EC,37.179,0,生气,狂暴,0,0.5,0,0
39,RE,EC,8.518,0,展示,抗议,0,0,0,0
39,RE,EC,8.638,0,要求,补偿,0,0,0,0
39,PI,EC,40.235,1,狂欢,狂欢,1,1,1,1
39,CE,EC,34.978,1,生气,生气,1,1,1,1
39,PI,EC,40.168,0,急救,阴森,0,0,0,0
39,EC,EC,24.369,1,烤焦,烤焦,1,1,1,1
39,PI,EC,25.375,1,尖叫,尖叫,1,1,1,1
39,EC,EC,80.069,0,限制,遗弃,0,0,0,0
39,EC,EC,39.042,0,生气,不快,0.5,0.5,0,0.5
39,EC,EC,60.298,0,说话,鸟鸣,0,0,0,0
39,CE,EC,36.107,1,刚愎自用,刚愎自用,1,1,1,1
39,EC,EC,60.715,0,鸟鸣,哄骗,0,0,0,0
41,PI,EC,13.226,0,炫耀,渴望,0,0,0,0
41,RE,EC,3.646,0,赞扬,通知,0,0,0,0
41,EC,EC,22.925,0,赞美,附属物,0,0,0,0
41,CE,EC,15.637,0,生气的,预言,0,0,0,0
41,CE,EC,38.085,1,徽章,徽章,1,1,1,1
41,RE,EC,4.116,0,容易破坏的,束缚,0,0,0,0
41,PI,EC,20.894,0,搞笑模仿,滑稽,0.5,0,0.5,0.5
41,PI,EC,21.808,0,支持,拥护,0.5,0.5,0.5,0.5
41,EC,EC,24.357,1,玩水,玩水,1,1,1,1
41,RE,EC,4.118,0,停留,偷懒,0,0,0,0
41,PI,EC,10.861,1,教授,教授,1,1,1,1
41,CE,EC,14.971,1,笨蛋,笨蛋,1,1,1,1
41,RE,EC,3.894,0,NA,兴奋,0,0,0,0
41,RE,EC,5.584,0,开心,安置,0,0,0,0
41,CE,EC,29.187,0,弄脏,责骂,0,0,0,0
41,EC,EC,27.902,0,大量喝水,篡改,0,0,0,0
41,EC,EC,19.511,0,测量,粗鲁,0,0,0,0
41,CE,EC,15.647,0,生气的,牢骚,0,0,0,0
41,EC,EC,19.837,0,大量喝水,狂饮,0.5,0.5,0.5,0.5
41,CE,EC,13.38,0,改变宗教,宁静,0,0,0,0
41,PI,EC,11.395,0,呼吸,强壮,0,0,0,0
41,EC,EC,20.979,0,古怪的,鲁莽,0,0,0,0
41,EC,EC,17.274,1,质问,质问,1,1,1,1
41,PI,EC,24.917,0,一路的,诱骗,0,0,0,0
41,PI,EC,23.818,0,古怪的,烦躁,0,0,0,0
41,EC,EC,21.251,0,废话,闲聊,0,0,0,0
41,EC,EC,13.346,0,NA,浸泡,0,0,0,0
41,EC,EC,17.11,0,生病的,不适,0.5,0.5,0.5,0.5
41,RE,EC,2.991,0,破坏,损坏,0.5,0.5,0.5,0.5
41,PI,EC,20.145,1,炫耀,炫耀,1,1,1,1
41,CE,EC,21.283,0,改变宗教的,急救,0,0,0,0
41,PI,EC,42.116,0,少量的,少量,1,0.5,1,1
41,RE,EC,2.735,0,大量喝水,可饮用,0,0.5,0,0
41,CE,EC,12.615,1,改变宗教,改变宗教,1,1,1,1
41,PI,EC,13.913,0,破烂的,破旧,0.5,0.5,1,0.5
41,EC,EC,26.463,0,游行,抗议,0.5,0,0,0
41,EC,EC,45.492,0,必须的,补偿,0,0,0,0
41,CE,EC,17.535,0,动乱,狂欢,0,0,0,0
41,PI,EC,19.285,1,生气,生气,1,1,1,1
41,CE,EC,17.564,0,改变宗教的,阴森,0,0,0,0
41,RE,EC,5.073,0,烧焦,烤焦,0.5,0.5,0.5,0.5
41,CE,EC,18.195,0,争吵,尖叫,0,0,0,0
41,RE,EC,5.439,0,一缕,遗弃,0,0,0,0
41,RE,EC,5.664,0,生气,不快,0.5,0.5,0.5,0.5
41,RE,EC,3.454,0,站不稳,鸟鸣,0,0,0,0
41,PI,EC,15.982,0,任性的,刚愎自用,0,0,0.5,0
41,RE,EC,4.46,0,考虑,哄骗,0,0,0,0
42,RE,CE,8.398,0,NA,Agog,0,0,0,0
42,PI,CE,24.589,0,NA,Apprise,0,0,0,0
42,CE,CE,15.954,0,NA,Appurtenance,0,0,0,0
42,EC,CE,16.196,0,NA,Augur,0,0,0,0
42,EC,CE,15.536,0,NA,Blazon,0,0,0,0
42,PI,CE,34.185,0,NA,Bridle,0,0,0,0
42,RE,CE,10.783,0,NA,Caricature,0,0,0,0
42,RE,CE,20.218,0,NA,Countenance,0,0,0,0
42,CE,CE,10.477,0,NA,Dabble,0,0,0,0
42,PI,CE,12.712,0,NA,Dawdle,0,0,0,0
42,RE,CE,3.452,0,NA,Don,0,0,0,0
42,EC,CE,17.189,0,NA,Dullard,0,0,0,0
42,PI,CE,25.974,0,NA,Effervesce,0,0,0,0
42,PI,CE,17.124,0,NA,Ensconce,0,0,0,0
42,EC,CE,21.884,0,NA,Fulminate,0,0,0,0
42,CE,CE,10.005,0,NA,Garble,0,0,0,0
42,CE,CE,14.095,0,NA,Gauche,0,0,0,0
42,EC,CE,13.766,0,NA,Gripe,0,0,0,0
42,CE,CE,18.121,0,NA,Guzzle,0,0,0,0
42,EC,CE,21.688,0,NA,Halcyon,0,0,0,0
42,RE,CE,6.904,0,NA,Hale,0,0,0,0
42,CE,CE,22.065,0,NA,Headlong,0,0,0,0
42,CE,CE,11.3,0,NA,Heckle,0,0,0,0
42,RE,CE,14.292,0,NA,Inveigle,0,0,0,0
42,RE,CE,9.859,0,NA,Irksome,0,0,0,0
42,CE,CE,10.631,0,NA,Jabber,0,0,0,0
42,CE,CE,13.188,0,NA,Macerate,0,0,0,0
42,CE,CE,16.249,0,NA,Malaise,0,0,0,0
42,PI,CE,20.915,0,NA,Mangle,0,0,0,0
42,RE,CE,16.288,0,NA,Panache,0,0,0,0
42,EC,CE,18.549,0,NA,Paroxysm,0,0,0,0
42,RE,CE,11.752,0,NA,Piddling,0,0,0,0
42,PI,CE,31.412,1,potable,Potable,1,1,1,1
42,EC,CE,47.619,0,NA,Proselytize,0,0,0,0
42,EC,CE,18.079,0,NA,Rabid,0,0,0,0
42,RE,CE,14.795,0,NA,Ragged,0,0,0,0
42,CE,CE,15.277,0,NA,Remonstrance,0,0,0,0
42,CE,CE,12.535,0,NA,Requite,0,0,0,0
42,EC,CE,16.924,0,NA,Revel,0,0,0,0
42,RE,CE,5.885,0,NA,Rile,0,0,0,0
42,EC,CE,17.737,0,NA,Sepulchral,0,0,0,0
42,PI,CE,13.074,0,NA,Singe,0,0,0,0
42,EC,CE,20.383,0,NA,Squall,0,0,0,0
42,PI,CE,12.657,0,NA,Strand,0,0,0,0
42,PI,CE,17.455,0,NA,Umbrage,0,0,0,0
42,PI,CE,22.901,0,NA,Warble,0,0,0,0
42,RE,CE,10.446,0,worward,Wayward,0.5,0.5,0.5,0.5
42,PI,CE,16.869,0,NA,Wheedle,0,0,0,0
45,PI,EC,25.623,0,NA,渴望,0,0,0,0
45,RE,EC,24.874,0,提供,通知,0,0,0,0
45,EC,EC,19.739,0,附属品,附属物,0.5,0.5,0.5,0.5
45,CE,EC,29.54,1,预言,预言,1,1,1,1
45,CE,EC,35.004,0,勋章,徽章,0.5,0.5,0.5,0.5
45,RE,EC,11.809,1,束缚,束缚,1,1,1,1
45,PI,EC,20.71,1,拥护,拥护,1,1,1,1
45,EC,EC,24.257,1,玩水,玩水,1,1,1,1
45,RE,EC,12.317,0,懒惰,偷懒,0.5,0.5,0.5,0.5
45,PI,EC,12.966,1,教授,教授,1,1,1,1
45,CE,EC,23.668,1,笨蛋,笨蛋,1,1,1,1
45,RE,EC,28.152,1,兴奋,兴奋,1,1,1,1
45,RE,EC,46.672,1,安置,安置,1,1,1,1
45,CE,EC,29.531,0,诽谤,责骂,0,0,0,0
45,EC,EC,27.673,0,闲聊,篡改,0,0,0,0
45,EC,EC,26.872,1,粗鲁,粗鲁,1,1,1,1
45,CE,EC,31.243,0,保研,牢骚,0,0,0,0
45,EC,EC,19.199,0,NA,狂饮,0,0,0,0
45,CE,EC,41.472,1,宁静,宁静,1,1,1,1
45,PI,EC,14.344,1,强壮,强壮,1,1,1,1
45,EC,EC,21.452,1,鲁莽,鲁莽,1,1,1,1
45,EC,EC,32.478,0,NA,质问,0,0,0,0
45,PI,EC,29.112,0,NA,诱骗,0,0,0,0
45,EC,EC,23.264,1,闲聊,闲聊,1,1,1,1
45,EC,EC,17.741,1,浸泡,浸泡,1,1,1,1
45,EC,EC,12.331,1,不适,不适,1,1,1,1
45,RE,EC,24.494,0,闲逛,损坏,0,0,0,0
45,PI,EC,57.417,0,刚愎自用,炫耀,0.5,0,0,0
45,CE,EC,45.256,0,救援,急救,0.5,0.5,0.5,0.5
45,PI,EC,17.567,1,少量,少量,1,1,1,1
45,RE,EC,5.76,1,可饮用,可饮用,1,1,1,1
45,CE,EC,38.222,0,违反宗教,改变宗教,0,0.5,0,0
45,CE,EC,39.81,0,生气,狂暴,0,0.5,0.5,0.5
45,PI,EC,30.173,1,破旧,破旧,1,1,1,1
45,EC,EC,28.066,1,抗议,抗议,1,1,1,1
45,EC,EC,43.275,1,补偿,补偿,1,1,1,1
45,CE,EC,15.82,1,狂欢,狂欢,1,1,1,1
45,PI,EC,20.35,1,生气,生气,1,1,1,1
45,CE,EC,50.478,0,离奇,阴森,0,0,0,0
45,RE,EC,7.804,0,NA,烤焦,0,0,0,0
45,CE,EC,25.236,1,尖叫,尖叫,1,1,1,1
45,RE,EC,25.493,0,驱逐,遗弃,0.5,0.5,0,0.5
45,RE,EC,31.011,0,NA,不快,0,0,0,0
45,PI,EC,43.986,1,刚愎自用,刚愎自用,1,1,1,1
45,RE,EC,39.852,0,讨厌,哄骗,0,0,0,0
46,RE,CE,28.934,1,agog,Agog,1,1,1,1
46,PI,CE,30.318,1,apprise,Apprise,1,1,1,1
46,CE,CE,42.346,1,appurtenance,Appurtenance,1,1,1,1
46,EC,CE,49.796,0,no,Augur,0,0,0,0
46,EC,CE,37.194,0,hackyon,Blazon,0,0,0,0
46,PI,CE,33.214,0,bridle,Bridle,1,0.5,1,1
46,RE,CE,10.397,0,no,Caricature,0,0,0,0
46,RE,CE,15.329,0,no,Countenance,0,0,0,0
46,CE,CE,21.926,1,dabble,Dabble,1,1,1,1
